Id,Category,Minutes
1503960366,Total minutes in bed,383.2
1644430081,Total minutes in bed,346
1844505072,Total minutes in bed,961
1927972279,Total minutes in bed,437.8
2026352035,Total minutes in bed,537.6428571
2320127002,Total minutes in bed,69
2347167796,Total minutes in bed,491.3333333
3977333714,Total minutes in bed,461.1428571
4020332650,Total minutes in bed,379.75
4319703577,Total minutes in bed,501.9615385
4388161847,Total minutes in bed,426.2083333
4445114986,Total minutes in bed,416.8214286
4558609924,Total minutes in bed,140
4702921684,Total minutes in bed,441.9642857
5553957443,Total minutes in bed,505.8709677
5577150313,Total minutes in bed,460.6153846
6117666160,Total minutes in bed,510.1666667
6775888955,Total minutes in bed,369
6962181067,Total minutes in bed,466.1290323
7007744171,Total minutes in bed,71.5
7086361926,Total minutes in bed,466.4166667
8053475328,Total minutes in bed,301.6666667
8378563200,Total minutes in bed,483.3125
8792009665,Total minutes in bed,453.8
1503960366,Total minutes asleep,360.28
1644430081,Total minutes asleep,294
1844505072,Total minutes asleep,652
1927972279,Total minutes asleep,417
2026352035,Total minutes asleep,506.1785714
2320127002,Total minutes asleep,61
2347167796,Total minutes asleep,446.8
3977333714,Total minutes asleep,293.6428571
4020332650,Total minutes asleep,349.375
4319703577,Total minutes asleep,476.6538462
4388161847,Total minutes asleep,403.125
4445114986,Total minutes asleep,385.1785714
4558609924,Total minutes asleep,127.6
4702921684,Total minutes asleep,421.1428571
5553957443,Total minutes asleep,463.483871
5577150313,Total minutes asleep,432
6117666160,Total minutes asleep,478.7777778
6775888955,Total minutes asleep,349.6666667
6962181067,Total minutes asleep,448
7007744171,Total minutes asleep,68.5
7086361926,Total minutes asleep,453.125
8053475328,Total minutes asleep,297
8378563200,Total minutes asleep,443.34375
8792009665,Total minutes asleep,435.6666667
1503960366,Total minutes awake,22.92
1644430081,Total minutes awake,52
1844505072,Total minutes awake,309
1927972279,Total minutes awake,20.8
2026352035,Total minutes awake,31.46428571
2320127002,Total minutes awake,8
2347167796,Total minutes awake,44.53333333
3977333714,Total minutes awake,167.5
4020332650,Total minutes awake,30.375
4319703577,Total minutes awake,25.30769231
4388161847,Total minutes awake,23.08333333
4445114986,Total minutes awake,31.64285714
4558609924,Total minutes awake,12.4
4702921684,Total minutes awake,20.82142857
5553957443,Total minutes awake,42.38709677
5577150313,Total minutes awake,28.61538462
6117666160,Total minutes awake,31.38888889
6775888955,Total minutes awake,19.33333333
6962181067,Total minutes awake,18.12903226
7007744171,Total minutes awake,3
7086361926,Total minutes awake,13.29166667
8053475328,Total minutes awake,4.666666667
8378563200,Total minutes awake,39.96875
8792009665,Total minutes awake,18.13333333
